File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.998123,0.939889,0.999635,0.889658,0.939189,0.954819,0.998495,0.998109,0.998096,0.998902,0.889658,5.337947,
00002,0.997696,0.941588,0.999233,0.900959,0.939189,0.996499,0.998348,0.998863,0.998394,0.998725,0.900959,5.405757,
00003,0.998436,0.947467,0.999771,0.963290,0.940874,0.941834,0.999086,0.998155,0.998685,0.999781,0.940874,5.645245,
00004,0.998271,0.946331,0.999717,0.914903,0.937538,0.996329,0.999214,0.998639,0.998121,0.998853,0.914903,5.489419,
00005,0.998448,0.933322,0.999875,0.969418,0.939189,0.997526,0.998541,0.998092,0.998289,0.999373,0.933322,5.599931,
00006,0.998374,0.955571,0.999238,0.900272,0.942596,0.985036,0.998208,0.999783,0.998584,0.998489,0.900272,5.401635,
00007,0.997598,0.934875,0.999302,0.890735,0.925429,0.895114,0.997831,0.998125,0.998084,0.997907,0.890735,5.344411,
00008,0.998229,0.948422,0.999811,0.885799,0.940874,0.998030,0.997766,0.998855,0.998265,0.998562,0.885799,5.314793,
00009,0.998315,0.955339,0.999822,0.874902,0.937538,0.998316,0.998384,0.997996,0.998036,0.998912,0.874902,5.249414,
00010,0.997419,0.955524,0.998888,0.895252,0.942596,0.998488,0.998438,0.998354,0.998696,0.997879,0.895252,5.371513,
00011,0.997606,1.000000,0.998593,0.892075,0.940874,0.985357,0.997983,0.998426,0.997762,0.997907,0.892075,5.352449,
00012,0.995742,0.900099,0.994566,0.827472,0.000080,0.000125,0.995435,0.990886,0.064140,0.996394,0.000080,0.000481,
00013,0.998159,0.938616,0.999683,0.873927,0.939189,0.974924,0.997841,0.997738,0.998820,0.998821,0.873927,5.243561,
00014,0.998439,0.947867,0.999574,0.917164,0.942596,0.998343,0.998698,0.997887,0.997899,0.998943,0.917164,5.502981,
00015,0.998307,0.931812,0.999544,0.893840,0.934335,0.997930,0.997747,0.998223,0.998441,0.999483,0.893840,5.363039,
00016,0.998453,0.947428,0.999611,0.919417,0.944356,0.998368,0.998655,0.999018,0.998561,0.998893,0.919417,5.516503,
00017,0.997899,0.942610,0.999404,0.898213,0.939189,0.954819,0.997821,0.998328,0.999044,0.998121,0.898213,5.389280,
00018,0.998303,0.950390,0.999901,0.888440,0.937538,0.994362,0.998060,0.999443,0.998748,0.998921,0.888440,5.330639,
00019,0.997948,0.933231,0.998744,0.905396,0.935920,0.976530,0.999588,0.998589,0.998099,0.998123,0.905396,5.432378,
00020,0.998310,0.955135,0.999740,0.895580,0.940874,0.985357,0.998010,0.936213,0.999775,0.998906,0.895580,5.373478,
00021,0.997687,0.945363,0.998155,0.870191,0.942596,0.998449,0.999053,0.998839,0.998501,0.997811,0.870191,5.221144,
00022,0.997879,0.941917,0.998557,0.876978,0.939189,0.995671,0.998501,0.997972,0.998637,0.998299,0.876978,5.261866,
