File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.998370,0.944447,0.999808,0.878118,0.933569,0.998023,0.998605,0.999175,0.999158,0.999359,0.878118,7.024941,
00002,0.998121,0.952896,0.999368,0.893039,0.933569,0.995351,0.999001,0.998706,0.998821,0.998614,0.893039,7.144314,
00003,0.998585,0.945727,0.999578,0.900849,0.931491,0.998696,0.998220,0.999969,0.999300,0.999310,0.900849,7.206789,
00004,0.998368,0.954129,0.999386,0.901448,0.933569,0.998643,0.998664,0.998336,0.999257,0.998343,0.901448,7.211583,
00005,0.998512,0.963828,0.999600,0.918611,0.933569,0.995579,0.998754,0.998664,0.998203,0.998676,0.918611,7.348889,
00006,0.998181,0.950965,0.999332,0.897266,0.933569,0.998739,0.997568,0.998747,0.999074,0.998460,0.897266,7.178131,
00007,0.998249,0.942692,0.999771,0.875231,0.923703,0.998683,0.998895,0.998931,0.999000,0.998392,0.875231,7.001851,
00008,0.998601,0.960254,0.999238,0.885088,0.933569,0.996883,0.997623,0.998865,0.999035,0.998171,0.885088,7.080704,
00009,0.998086,0.948270,0.999376,0.908604,0.931491,0.998700,0.999515,0.997955,0.998645,0.998633,0.908604,7.268834,
00010,0.998046,0.969153,0.999540,0.892288,0.929468,0.982296,0.999252,0.998912,0.998448,0.998560,0.892288,7.138303,
00011,0.997724,0.995654,0.999068,0.923867,0.935706,0.997464,0.997960,0.999196,0.999069,0.998057,0.923867,7.390934,
00012,0.997411,0.972243,0.998903,0.850030,0.000062,0.000095,0.996090,0.994261,0.324481,0.997616,0.000062,0.000493,
00013,0.998520,0.940610,0.999424,0.935884,0.931491,0.973446,0.999007,0.998306,0.999114,0.998615,0.931491,7.451926,
00014,0.998658,0.958153,0.999669,0.890238,0.925576,0.978769,0.998193,0.999283,0.999199,0.999269,0.890238,7.121901,
00015,0.998380,0.939550,0.999292,0.896691,0.933569,0.993220,0.998419,0.998646,0.998226,0.999205,0.896691,7.173531,
00016,0.998087,0.942960,0.999373,0.901160,0.931491,0.984502,0.998725,0.999025,0.999517,0.998976,0.901160,7.209284,
00017,0.998255,0.955342,0.999484,0.890831,0.933569,0.998669,0.998023,0.998362,0.998944,0.998354,0.890831,7.126646,
00018,0.998191,0.947268,0.999208,0.910612,0.931491,0.972872,0.998783,0.999311,0.998567,0.998095,0.910612,7.284898,
00019,0.998156,0.938291,0.998933,0.891429,0.927497,0.997755,0.998650,0.998362,0.998605,0.998377,0.891429,7.131428,
00020,0.998460,0.939641,0.999478,0.907806,0.929468,0.951244,0.998146,0.998991,0.999434,0.999415,0.907806,7.262446,
00021,0.997742,0.952581,0.998828,0.888778,0.929468,0.951244,0.998503,0.999321,0.998627,0.998133,0.888778,7.110222,
00022,0.997952,0.935446,0.998789,0.910940,0.927497,0.997825,0.997580,0.998499,0.998784,0.998405,0.910940,7.287521,
00023,0.997172,0.912528,0.996429,0.893352,0.000062,0.000095,0.998001,0.993603,0.178835,0.997152,0.000062,0.000493,
00024,0.998110,0.935159,0.999234,0.899117,0.933569,0.998185,0.998487,0.998777,0.999342,0.998500,0.899117,7.192935,
00025,0.998242,0.951281,0.999438,0.905017,0.933569,0.998653,0.998195,0.998063,0.999074,0.998755,0.905017,7.240134,
00026,0.997535,0.955467,0.999158,0.885785,0.935706,0.995506,0.997749,0.998562,0.998593,0.998072,0.885785,7.086279,
00027,0.997581,0.944001,0.999117,0.957295,0.931491,0.993220,0.999621,0.998357,0.998527,0.998101,0.931491,7.451926,
00028,0.998560,0.947637,0.999865,0.923081,0.933569,0.994739,0.998617,0.997750,0.999237,0.999012,0.923081,7.384645,
00029,0.998248,0.952483,0.999445,0.905824,0.933569,0.998248,0.998546,0.998037,0.998427,0.998691,0.905824,7.246593,
00030,0.998500,0.961915,0.999617,0.898592,0.931491,0.973446,0.998126,0.998299,0.998757,0.999133,0.898592,7.188740,
00031,0.998426,0.931079,0.999447,0.907898,0.933569,0.995579,0.998590,0.999306,0.998903,0.999497,0.907898,7.263187,
00032,0.998203,0.946400,0.998805,0.905318,0.933569,0.996543,0.998055,0.997949,0.998173,0.998655,0.905318,7.242542,
00033,0.998112,0.948015,0.999624,0.878249,0.933569,0.995281,0.999104,0.998900,0.999900,0.999225,0.878249,7.025992,
00034,0.998600,0.931821,0.998975,0.894513,0.935706,0.973446,0.997583,0.997893,0.999250,0.998251,0.894513,7.156100,
00035,0.997448,0.937064,0.995978,0.837486,0.000062,0.000093,0.997424,0.992371,0.096682,0.995088,0.000062,0.000493,
00036,0.998431,0.947151,0.999756,0.919543,0.925576,0.972872,0.998254,0.999071,0.998593,0.999140,0.919543,7.356346,
00037,0.998019,0.983195,0.999229,0.896908,0.933569,0.998651,0.999026,0.999159,0.999162,0.998226,0.896908,7.175261,
00038,0.998640,0.930598,0.999958,0.913118,0.931491,0.973446,0.999344,0.998471,0.997998,0.999849,0.913118,7.304947,
00039,0.998387,0.946469,0.998529,0.899095,0.931491,0.998042,0.998703,0.998640,0.998083,0.997606,0.899095,7.192756,
00040,0.998269,0.948223,0.999258,0.884666,0.933569,0.997873,0.998749,0.998855,0.997781,0.998462,0.884666,7.077329,
00041,0.998436,0.935786,0.999832,0.892437,0.921875,0.998491,0.998389,0.997808,0.999106,0.998995,0.892437,7.139494,
00042,0.998208,0.935291,0.998353,0.898479,0.929468,0.952275,0.999337,0.998016,0.997546,0.997778,0.898479,7.187835,
00043,0.998499,0.936755,0.999892,0.909279,0.933569,0.998669,0.998901,0.999389,0.998852,0.998797,0.909279,7.274230,
00044,0.998623,0.951230,0.999951,0.926071,0.931491,0.959590,0.998202,0.999101,0.998266,0.999221,0.926071,7.408567,
00045,0.998600,0.943461,0.999466,0.914425,0.931491,0.998676,0.998455,1.000000,0.998961,0.998701,0.914425,7.315404,
00046,0.998613,0.955586,0.999893,0.892389,0.933569,0.951244,0.999111,0.998653,0.999551,0.999212,0.892389,7.139116,
00047,0.997969,0.949008,0.999516,0.907407,0.927497,0.998070,0.999582,0.997679,0.999083,0.998422,0.907407,7.259253,
00048,0.998245,0.954176,0.999385,0.889611,0.929468,0.939570,0.998157,0.999434,0.999404,0.998929,0.889611,7.116890,
00049,0.998490,0.948372,0.999840,0.886998,0.933569,0.994159,0.997526,0.997986,0.999006,0.999492,0.886998,7.095983,
00050,0.998587,0.969430,0.999404,0.899289,0.933569,0.952275,0.998824,0.998544,0.998672,0.998471,0.899289,7.194309,
00051,0.998363,0.954858,0.999508,0.909055,0.929468,0.951244,0.998923,0.998915,0.998662,0.998948,0.909055,7.272438,
00052,0.998642,0.948797,0.999629,0.871057,0.931491,0.998155,0.997933,0.998679,0.998596,0.998960,0.871057,6.968460,
00053,0.998478,0.938039,0.999627,0.909084,0.931491,0.996810,0.998566,0.999229,0.999505,0.998839,0.909084,7.272675,
00054,0.998326,0.947052,0.999499,0.912796,0.921875,0.998692,0.998283,0.999246,0.997888,0.999118,0.912796,7.302365,
00055,0.998557,0.939187,0.999261,0.906665,0.929468,0.973446,0.999113,0.998364,0.998806,0.998161,0.906665,7.253318,
00056,0.998455,0.947443,0.999665,0.912627,0.931491,0.997666,0.999371,0.999392,0.999190,0.999221,0.912627,7.301018,
00057,0.998561,0.949021,0.999850,0.910190,0.929468,0.973446,0.998713,0.998415,0.998955,0.998820,0.910190,7.281522,
00058,0.998654,0.941727,0.999326,0.889487,0.931491,0.995088,0.998031,0.998368,0.998637,0.998446,0.889487,7.115899,
00059,0.998519,0.962428,0.999385,0.898969,0.933569,0.998575,0.998464,0.998703,0.998521,0.998437,0.898969,7.191751,
00060,0.998486,0.950165,0.999520,0.893986,0.933569,0.988027,0.998952,0.998322,0.998898,0.998563,0.893986,7.151890,
00061,0.998589,0.968767,0.999791,0.931638,0.920090,0.985469,0.998900,0.999773,0.999069,0.998814,0.920090,7.360720,
00062,0.997694,0.949550,0.999265,0.884121,0.933569,0.973446,0.998774,0.998246,0.998757,0.998379,0.884121,7.072968,
00063,0.998499,0.930320,0.999355,0.872122,0.933569,0.992400,0.998346,0.999056,0.950566,0.999234,0.872122,6.976973,
00064,0.998327,0.955586,0.999496,0.888965,0.935706,0.939570,0.999072,0.998261,0.999393,0.998758,0.888965,7.111717,
00065,0.998565,0.953645,0.999378,0.930601,0.931491,0.972872,0.998230,0.997851,0.998242,0.998263,0.930601,7.444808,
00066,0.998643,0.939737,0.999522,0.927338,0.933569,0.996354,0.999529,0.999179,0.999151,0.999290,0.927338,7.418701,
00067,0.998391,0.928582,0.998858,0.880743,0.933569,0.997556,0.998639,0.999071,0.998389,0.998083,0.880743,7.045946,
00068,0.998348,0.954345,0.999475,0.907174,0.931491,0.997891,0.999348,0.984572,0.999414,0.998970,0.907174,7.257392,
00069,0.998467,0.953960,0.999592,0.912806,0.923703,0.998672,0.998686,0.998868,0.999273,0.999113,0.912806,7.302449,
00070,0.997745,0.940389,0.998854,0.894956,0.950076,0.990036,0.998734,0.998009,0.998393,0.998005,0.894956,7.159645,
00071,0.998462,0.951536,0.999688,0.908091,0.931491,0.997982,0.999137,0.998861,0.998110,0.998920,0.908091,7.264732,
00072,0.998457,0.978411,0.999686,0.897777,0.931491,0.952275,0.999475,0.998533,0.999469,0.999320,0.897777,7.182217,
00073,0.998596,0.927318,0.998710,0.919705,0.931491,0.952275,0.998880,0.998433,0.998824,0.997904,0.919705,7.357638,
00074,0.997851,0.970705,0.999367,0.896908,0.929468,0.998608,0.998597,0.999181,0.998268,0.997938,0.896908,7.175266,
00075,0.998309,0.941023,0.998964,0.899559,0.933569,0.991389,0.998404,0.998991,0.998850,0.998242,0.899559,7.196470,
00076,0.998025,0.930970,0.998379,0.904176,0.925576,0.960458,0.998118,0.998721,0.998749,0.998029,0.904176,7.233412,
00077,0.998476,0.945761,0.999590,0.897472,0.935706,0.932005,0.998548,0.998933,0.999026,0.998923,0.897472,7.179775,
00078,0.998590,0.946930,0.999941,0.878635,0.935706,0.996483,0.998816,0.998704,0.998681,0.999165,0.878635,7.029082,
00079,0.998083,0.938697,0.999334,0.886868,0.929468,0.991868,0.998358,0.998927,0.999254,0.999032,0.886868,7.094941,
00080,0.998441,0.927784,0.999043,0.925731,0.935706,0.987773,0.998488,0.998636,0.998856,0.998495,0.925731,7.405851,
00081,0.998133,0.939187,0.999325,0.915822,0.929468,0.893948,1.000000,0.999419,0.998619,0.998673,0.893948,7.151583,
00082,0.995991,1.000000,0.997844,0.865377,0.000063,0.000098,0.996275,0.993200,0.081068,0.996200,0.000063,0.000506,
00083,0.998236,0.941466,0.999086,0.878563,0.929468,0.988139,0.999409,0.998711,0.999198,0.997965,0.878563,7.028506,
00084,0.998279,0.935056,0.999260,0.905796,0.935706,0.982296,0.998418,0.998815,0.998927,0.998680,0.905796,7.246369,
00085,0.998497,0.955586,0.999903,0.975600,0.935706,0.998705,0.998657,0.998081,0.999475,0.999376,0.935706,7.485651,
00086,0.998312,0.956835,0.999548,0.910474,0.929468,0.994500,0.998524,0.998686,0.998226,0.998978,0.910474,7.283794,
00087,0.998654,0.961792,0.999675,0.901423,0.935706,0.995450,0.998604,0.998103,0.998977,0.999273,0.901423,7.211388,
00088,0.997883,0.952961,0.999220,0.875168,0.933569,0.998710,0.998437,0.998326,0.999802,0.998689,0.875168,7.001344,
00089,0.997764,0.944596,0.998861,0.889168,0.929468,0.982296,0.998845,0.998222,0.998702,0.998504,0.889168,7.113343,
00090,0.998254,0.948449,0.999679,0.898571,0.929468,0.985573,0.998868,0.998414,0.999381,0.998789,0.898571,7.188571,
00091,0.998540,0.941617,0.999895,0.907024,0.950076,0.998631,0.998620,0.998304,0.998824,0.999428,0.907024,7.256190,
00092,0.998512,0.949887,0.999901,0.874107,0.935706,0.997067,0.998693,0.999254,0.999011,0.999272,0.874107,6.992853,
00093,0.998001,0.937696,0.999560,0.885582,0.931491,0.995579,0.998772,0.997961,0.999394,0.998777,0.885582,7.084658,
00094,0.998327,0.936702,0.999146,0.914691,0.929468,0.952275,0.998723,0.999181,0.999004,0.998823,0.914691,7.317528,
00095,0.998644,0.959786,0.998958,0.894054,0.933569,0.998143,0.999433,0.998737,0.998709,0.998192,0.894054,7.152435,
00096,0.998246,0.939853,0.999331,0.912158,0.931491,0.976748,0.998317,0.999251,0.998086,0.998748,0.912158,7.297265,
00097,0.998256,0.960128,0.996772,0.907536,0.000063,0.000097,0.998762,0.994389,0.076900,0.996568,0.000063,0.000505,
00098,0.998304,0.954007,0.999611,0.909810,0.933569,0.992940,0.998568,0.998595,0.998424,0.998726,0.909810,7.278476,
00099,0.997957,0.946659,0.999065,0.899265,0.933569,0.987828,0.999296,0.998355,0.998721,0.984572,0.899265,7.194119,
00100,0.998251,0.945931,0.999503,0.905793,0.933569,0.990097,0.998437,0.998460,0.998402,0.998991,0.905793,7.246341,
00101,0.998529,0.965651,0.998982,0.926460,0.000062,0.000095,0.998422,0.996852,0.105046,0.998296,0.000062,0.000494,
00102,0.998014,0.939965,0.999548,0.891990,0.933569,0.997309,0.998323,0.998370,0.998692,0.998546,0.891990,7.135923,
00103,0.998078,0.935890,0.999078,0.908491,0.931491,0.995506,0.998270,0.997802,0.999308,0.998457,0.908491,7.267931,
00104,0.998039,1.000000,0.995196,0.879348,0.000062,0.000095,0.999185,0.994650,0.082746,0.994667,0.000062,0.000493,
00105,0.997947,0.951760,0.998771,0.927708,0.931491,0.998716,0.984571,0.999110,0.997965,0.998368,0.927708,7.421667,
00106,0.998190,0.948509,0.999508,0.894231,0.931491,0.998670,0.998053,0.999267,0.999710,0.998846,0.894231,7.153846,
00107,0.998602,0.941096,0.999919,0.900314,0.931491,0.996647,0.998679,0.998871,0.998620,0.999073,0.900314,7.202508,
00108,0.998245,0.937262,0.999759,0.883583,0.933569,0.987773,0.998216,0.999575,0.999059,0.998649,0.883583,7.068661,
00109,0.998329,0.941241,0.999629,0.884083,0.933569,0.998456,0.998575,0.998925,0.997178,0.998792,0.884083,7.072666,
00110,0.998163,0.949081,0.999085,0.899291,0.933569,0.973446,0.999823,0.997536,0.998352,0.998456,0.899291,7.194330,
00111,0.998618,0.941148,0.999660,0.899363,0.931491,0.973446,0.998152,0.999895,0.998269,0.999030,0.899363,7.194907,
00112,0.998213,0.955168,0.999748,0.917842,0.931491,0.997650,0.998907,0.998522,0.999051,0.998963,0.917842,7.342733,
00113,0.997861,0.945153,0.998999,0.902862,0.931491,0.971643,0.997760,0.999064,0.998735,0.998754,0.902862,7.222898,
00114,0.998328,0.961264,0.999727,0.898774,0.931491,0.978283,0.998598,0.998569,0.999040,0.998728,0.898774,7.190190,
00115,0.997633,0.940492,0.999112,0.887112,0.929468,0.994209,0.998336,0.998092,0.998322,0.997871,0.887112,7.096900,
00116,0.998301,0.928510,0.998903,0.903367,0.931491,0.998400,0.998249,0.998602,0.998878,0.998575,0.903367,7.226937,
