File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.998601,0.929909,0.999415,0.888611,0.925576,0.998131,0.997937,0.998407,0.998246,0.998574,0.888611,7.108890,
00002,0.998653,0.942361,0.999726,0.919212,0.933569,0.951244,0.998586,0.999062,0.998726,0.999394,0.919212,7.353695,
00003,0.998197,0.944929,0.998999,0.904868,0.929468,0.998675,0.998691,0.998858,0.999022,0.998521,0.904868,7.238944,
00004,0.998186,0.922503,0.998400,0.884037,0.931491,0.991389,0.998581,0.999499,0.998367,0.998224,0.884037,7.072293,
00005,0.998370,0.950320,0.999716,0.905380,0.929468,0.973446,0.998415,0.998687,0.998277,0.998974,0.905380,7.243039,
00006,0.998565,0.952535,0.999442,0.899320,0.933569,0.973446,0.998563,0.997779,0.998548,0.998835,0.899320,7.194562,
00007,0.998030,0.950620,0.999456,0.912780,0.927497,0.952275,0.999214,0.998373,0.999104,0.998614,0.912780,7.302242,
00008,0.998424,0.938217,0.999171,0.905883,0.933569,0.997594,0.999974,0.998188,0.999325,0.998439,0.905883,7.247065,
00009,0.997680,0.987123,0.999069,0.921322,0.933569,0.995088,0.998544,0.984572,0.997599,0.997809,0.921322,7.370575,
00010,0.998203,0.954618,0.999634,0.889818,0.931491,0.981097,0.999432,0.998669,0.998383,0.998618,0.889818,7.118544,
00011,0.998272,0.949691,0.999736,0.888065,0.931491,0.961597,0.998958,0.998612,0.997825,0.998838,0.888065,7.104519,
00012,0.998076,0.952633,0.999167,0.916690,0.931491,0.998495,0.998304,0.998155,0.998910,0.998614,0.916690,7.333521,
00013,0.998596,0.948021,0.999948,0.910523,0.931491,0.992940,0.998663,0.998904,0.998761,0.999179,0.910523,7.284186,
00014,0.997738,0.941539,0.999317,0.922363,0.933569,0.981915,0.999021,0.999439,0.998209,0.997841,0.922363,7.378902,
00015,0.997962,1.000000,0.998886,0.895978,0.929468,0.995296,0.997090,0.997888,0.998352,0.998821,0.895978,7.167827,
00016,0.998660,0.928540,0.999270,0.900281,0.935706,0.997727,0.999029,0.998096,0.998604,0.998683,0.900281,7.202245,
00017,0.997633,0.970943,0.999351,0.901392,0.929468,0.912580,0.999151,0.998350,0.998434,0.997902,0.901392,7.211139,
00018,0.998662,0.955003,0.999228,0.903860,0.933569,0.995450,0.998362,0.998719,0.998984,0.998155,0.903860,7.230882,
00019,0.997898,0.937995,0.998818,0.879073,0.931491,0.998679,0.999596,0.999402,0.999001,0.998465,0.879073,7.032587,
00020,0.998362,0.946503,0.999079,0.890496,0.933569,0.995579,0.998753,0.998806,0.999301,0.999387,0.890496,7.123972,
00021,0.998361,0.931657,0.999083,0.971429,0.929468,0.996599,0.998364,0.998733,0.998160,0.998422,0.929468,7.435741,
00022,0.998467,0.944679,0.999783,0.924740,0.933569,0.930556,0.998847,0.998560,0.998042,0.999543,0.924740,7.397916,
00023,0.998493,0.946371,0.999729,0.911651,0.933569,0.976956,0.950566,0.999173,0.998632,0.999230,0.911651,7.293210,
00024,0.998642,0.936659,0.999975,0.908533,0.935706,0.932005,0.998004,0.998645,0.998126,0.999516,0.908533,7.268264,
00025,0.998056,0.963638,0.999303,0.913929,0.933569,0.973446,0.998870,0.998669,0.999009,0.998374,0.913929,7.311431,
00026,0.998311,0.958904,0.999087,0.891701,0.933569,0.998187,0.998647,0.999337,0.998376,0.998140,0.891701,7.133605,
00027,0.998613,0.945983,0.999862,0.903350,0.933569,0.994387,0.998895,0.998850,0.998715,0.998621,0.903350,7.226799,
00028,0.998036,0.929883,0.998501,0.913418,0.929468,0.995180,0.998498,0.998624,0.998497,0.998523,0.913418,7.307348,
00029,0.997363,0.972830,0.998897,0.879376,0.931491,0.981416,0.998750,0.999805,0.998743,0.997727,0.879376,7.035008,
00030,0.998433,0.929467,0.999282,0.880710,0.933569,0.960458,0.998620,0.998941,0.998356,0.998550,0.880710,7.045681,
00031,0.998403,0.934460,0.999606,0.885978,0.933569,0.998693,0.998969,0.998621,1.000000,0.998991,0.885978,7.087826,
00032,0.998209,0.942255,0.999481,0.891117,0.927497,0.995506,0.998923,0.998341,0.999634,0.998701,0.891117,7.128935,
00033,0.998454,0.938251,0.999777,0.918540,0.933569,0.959590,0.998828,0.997329,0.998709,0.998847,0.918540,7.348320,
00034,0.998082,0.940888,0.998944,0.896712,0.933569,0.995202,0.998920,0.999898,0.998703,0.998850,0.896712,7.173696,
00035,0.998539,0.956362,0.999818,0.889210,0.933569,0.998568,0.999317,0.998000,0.999549,0.999209,0.889210,7.113681,
00036,0.998523,0.937345,0.999750,0.909324,0.933569,0.973446,0.998803,0.998067,1.000000,0.999181,0.909324,7.274595,
00037,0.998629,0.930381,0.999104,0.884338,0.931491,0.998561,0.999166,0.998108,0.998602,0.998043,0.884338,7.074703,
00038,0.998459,0.951186,0.999462,0.916730,0.933569,0.912580,0.998354,0.999247,0.998153,0.998697,0.912580,7.300642,
00039,0.998100,0.936630,0.999068,0.918454,0.933569,0.972872,0.998604,0.999640,0.998619,0.998722,0.918454,7.347628,
00040,0.998352,0.944985,0.999494,0.910531,0.933569,0.164991,0.998856,0.999042,0.998704,0.998878,0.164991,1.319928,
00041,0.998072,0.935244,0.998724,0.935206,0.935706,0.932005,0.999216,0.998343,0.998048,0.998091,0.932005,7.456043,
00042,0.998431,0.928455,0.999668,0.904793,0.929468,0.995506,0.998186,0.998630,0.997582,0.999125,0.904793,7.238343,
00043,0.998590,0.941101,0.999607,0.932379,0.933569,0.973446,0.999731,0.998560,0.998510,0.998588,0.932379,7.459035,
00044,0.998018,0.938276,0.999269,0.916019,0.931491,0.952275,0.998382,0.998474,0.999111,0.998225,0.916019,7.328152,
00045,0.998370,0.950507,0.999613,0.901810,0.931491,0.972872,0.999209,0.998386,0.998376,0.999041,0.901810,7.214484,
00046,0.997626,0.958601,0.999328,0.916123,0.935706,0.972872,0.998551,0.998980,0.998779,0.998166,0.916123,7.328987,
00047,0.998311,0.965927,0.999258,0.929027,0.931491,0.912580,0.999306,0.998208,0.998008,0.998594,0.912580,7.300642,
00048,0.997949,0.935928,0.998096,0.884892,0.927497,0.987773,0.998822,0.998599,0.998716,0.998379,0.884892,7.079140,
00049,0.998525,0.940656,0.999852,0.891489,0.945897,0.998687,0.998518,0.998054,0.998539,0.999365,0.891489,7.131910,
00050,0.997943,0.947678,0.999389,0.900943,0.929468,0.998694,0.997866,0.998646,0.998216,0.998395,0.900943,7.207546,
00051,0.998444,0.946497,0.999511,0.930500,0.933569,0.996543,0.998847,0.998803,0.998103,0.998539,0.930500,7.444003,
00052,0.998239,0.957379,0.999310,0.892320,0.933569,0.998557,0.998681,0.998472,0.998536,0.998984,0.892320,7.138561,
00053,0.998411,0.965743,0.999019,0.890226,0.929468,0.997461,0.998612,0.998281,0.998818,0.998140,0.890226,7.121805,
