File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.998619,0.940195,0.999646,0.903035,0.929468,0.972872,0.999029,0.999679,0.998193,0.999049,0.903035,7.224278,
00002,0.998498,0.962386,0.998967,0.892521,0.929468,0.986337,0.998787,0.998492,0.998363,0.997904,0.892521,7.140170,
00003,0.998114,0.933386,0.998765,0.899802,0.933569,0.998398,0.998660,0.998610,0.999445,0.999027,0.899802,7.198416,
00004,0.998101,0.938400,0.998457,0.902379,0.927497,0.998643,0.999017,0.998910,0.998520,0.998283,0.902379,7.219031,
00005,0.998473,0.954312,0.998935,0.915447,0.931491,0.912580,0.998323,0.998428,0.998348,0.998210,0.912580,7.300642,
00006,0.998411,0.950060,0.999633,0.912248,0.933569,0.997523,0.999252,0.999389,0.997925,0.998568,0.912248,7.297981,
00007,0.998644,0.955502,0.999267,0.907109,0.933569,0.959590,0.888997,0.997886,0.998838,0.998181,0.888997,7.111976,
00008,0.998039,0.941727,0.998502,0.891211,0.947266,0.973858,0.998038,0.998405,0.998797,0.999196,0.891211,7.129692,
00009,0.997981,0.940251,0.998989,0.898141,0.929468,0.998496,0.999275,0.999450,0.998646,0.998682,0.898141,7.185128,
00010,0.998058,0.943892,0.999608,0.907098,0.929468,0.992039,0.998974,0.998701,0.998728,0.998181,0.907098,7.256785,
00011,0.998248,0.936644,0.999174,0.905568,0.923703,0.998718,0.999114,0.999168,0.998460,0.999325,0.905568,7.244542,
00012,0.998302,0.935465,0.998865,0.921481,0.933569,0.972872,0.998931,0.999012,0.999031,0.998646,0.921481,7.371848,
00013,0.997336,0.929711,0.998183,0.897981,0.933569,0.912580,0.998962,0.998075,0.997987,0.997781,0.897981,7.183852,
00014,0.998208,0.957444,0.999406,0.900455,0.933569,0.982296,0.984571,0.998457,0.999117,0.999271,0.900455,7.203639,
00015,0.998014,0.952909,0.998899,0.912248,0.929468,0.972872,0.998617,0.998823,0.998857,0.998578,0.912248,7.297986,
00016,0.998371,0.959354,0.999085,0.886778,0.931491,0.996955,0.999097,0.999188,0.998363,0.998299,0.886778,7.094226,
00017,0.998659,0.983328,0.999487,0.924875,0.933569,0.995633,0.999231,0.999386,0.998998,0.998724,0.924875,7.399000,
00018,0.998642,0.950420,0.999570,0.898957,0.931491,0.930556,0.998991,0.998744,0.999290,0.998858,0.898957,7.191658,
00019,0.997911,0.934996,0.998458,0.904560,0.925576,0.989075,0.998076,0.998172,0.998305,0.998188,0.904560,7.236483,
00020,0.998370,0.939434,0.999295,0.930372,0.933569,0.976748,0.998285,0.998525,0.998748,0.998600,0.930372,7.442980,
00021,0.997797,0.951715,0.999241,0.904794,0.929468,0.998444,0.999381,0.998728,0.998222,0.997853,0.904794,7.238352,
00022,0.998608,0.946154,0.999788,0.909637,0.929468,0.995762,0.998203,0.998870,0.999426,0.999846,0.909637,7.277095,
00023,0.998284,0.937306,0.999575,0.897283,0.929468,0.858875,0.998528,0.999016,0.999064,0.999073,0.858875,6.871004,
00024,0.998250,0.947385,0.999454,0.952548,0.933569,0.982296,0.999331,0.998942,0.998426,0.998617,0.933569,7.468554,
00025,0.998578,0.949099,0.999567,0.904583,0.931491,0.997950,0.999544,0.998559,0.998539,0.998806,0.904583,7.236662,
00026,0.997882,0.933509,0.998682,0.914339,0.925576,0.998234,0.998548,0.997913,0.998772,0.998159,0.914339,7.314708,
00027,0.998632,0.949130,0.999564,0.923836,0.935706,0.998710,0.999232,0.998689,0.998787,0.999173,0.923836,7.390689,
00028,0.998222,0.980504,0.999763,0.881633,0.933569,0.997101,0.999063,0.998844,0.998350,0.998713,0.881633,7.053062,
00029,0.998537,0.933327,0.999004,0.893806,0.931491,0.995268,0.998928,0.998783,0.998644,0.998224,0.893806,7.150450,
00030,0.998565,0.960019,0.999875,0.885077,0.933569,0.991344,0.998933,0.998480,0.998787,0.998958,0.885077,7.080619,
00031,0.998164,0.952321,0.999363,0.930228,0.931491,0.985791,0.998396,0.998505,0.999270,0.998325,0.930228,7.441822,
00032,0.998583,0.932468,0.999442,0.893317,0.931491,0.998618,0.997393,0.998527,0.998275,0.984572,0.893317,7.146539,
00033,0.998025,0.945041,0.999578,0.897182,0.931491,0.995268,0.999650,0.999004,0.997278,0.998274,0.897182,7.177455,
00034,0.998357,0.938857,0.999023,0.892625,0.933569,0.972872,0.997656,0.999040,0.998685,0.998238,0.892625,7.141002,
00035,0.998594,0.954176,0.999685,0.926180,0.925576,0.995431,0.998876,0.998925,0.999817,0.998824,0.925576,7.404611,
00036,0.998418,0.956541,0.999550,0.897638,0.929468,0.998240,0.998663,0.998993,0.998912,0.998351,0.897638,7.181101,
00037,0.998217,0.952797,0.999639,0.877282,0.931491,0.995579,0.998764,0.999037,0.998551,0.998738,0.877282,7.018259,
00038,0.998289,0.943456,0.999343,0.904689,0.933569,0.998173,0.998942,0.998747,0.998473,0.999721,0.904689,7.237516,
00039,0.998249,0.934940,0.999705,0.923498,0.933569,0.998676,0.998883,0.999098,0.998901,0.999060,0.923498,7.387980,
00040,0.998596,0.934114,0.999499,0.895688,0.933569,0.965562,0.998438,0.999102,0.998144,0.999040,0.895688,7.165507,
00041,0.998568,0.925510,0.999230,0.889688,0.933569,0.973446,0.998864,0.998778,0.999205,0.998696,0.889688,7.117507,
00042,0.998489,0.957124,0.999707,0.926479,0.931491,0.995506,0.998781,0.999298,0.998574,0.999138,0.926479,7.411830,
00043,0.996821,0.961144,0.998236,0.884345,0.935706,0.998697,0.998574,0.998711,0.997357,0.997170,0.884345,7.074764,
00044,0.998515,0.961613,0.999723,0.912346,0.929468,0.992039,0.998511,0.998854,0.999368,0.999786,0.912346,7.298767,
00045,0.998061,0.937725,0.999434,0.906900,0.933569,0.995762,0.998126,0.999012,0.999566,0.998548,0.906900,7.255202,
00046,0.998095,0.934096,0.998500,0.910209,0.929468,0.997350,0.999159,0.998242,0.998701,0.998188,0.910209,7.281671,
00047,0.998609,0.936152,0.998973,0.932000,0.931491,0.982593,0.997821,0.998669,0.998569,0.998335,0.931491,7.451926,
00048,0.997986,0.937917,0.999162,0.873423,0.933569,0.995431,0.998932,0.998803,0.998393,0.998043,0.873423,6.987383,
00049,0.998418,0.940605,0.999309,0.895958,0.933569,0.993068,0.998101,0.999114,0.998306,0.999460,0.895958,7.167664,
00050,0.998626,0.959623,0.999958,0.893795,0.935706,0.973446,0.998018,0.998998,0.999064,0.999516,0.893795,7.150363,
00051,0.998308,0.943837,0.999581,0.886284,0.935706,0.988027,0.998576,0.999416,0.999592,0.998858,0.886284,7.090270,
00052,0.998566,0.949752,0.999895,0.893802,0.923703,0.942856,0.984571,0.998808,0.998586,0.950566,0.893802,7.150417,
00053,0.997939,0.937481,0.999034,0.930857,0.933569,0.973446,0.998179,0.999275,0.999456,0.998922,0.930857,7.446855,
00054,0.998113,0.941450,0.999403,0.918656,0.929468,0.995762,0.998869,0.998437,0.998970,0.998497,0.918656,7.349250,
00055,0.998111,0.954892,0.999279,0.916354,0.935706,0.998707,0.998445,0.998175,0.999556,0.998356,0.916354,7.330830,
00056,0.998510,0.955656,0.999817,0.906837,0.929468,0.978769,0.998756,0.999232,0.998779,0.999478,0.906837,7.254693,
00057,0.998431,0.943728,0.999516,0.888072,0.931491,0.993961,0.998219,0.997899,0.999561,0.998969,0.888072,7.104577,
00058,0.998436,0.952928,0.999602,0.909220,0.935706,0.995579,0.998654,0.998859,0.999046,0.998659,0.909220,7.273758,
00059,0.998042,0.935150,0.999019,0.903818,0.933569,0.993220,0.998858,0.998156,0.997765,0.998463,0.903818,7.230547,
00060,0.998526,0.936510,0.999423,0.893767,0.931491,0.998160,0.999129,0.998437,0.998867,0.998846,0.893767,7.150138,
00061,0.998480,0.946515,0.999515,0.900018,0.931491,0.952275,0.997728,0.998742,1.000000,0.999625,0.900018,7.200142,
00062,0.998493,0.949336,0.999681,0.883917,0.929468,0.998697,0.997831,0.999423,0.999458,0.999484,0.883917,7.071336,
00063,0.998026,0.946659,0.999135,0.907718,0.933569,0.998622,0.999871,0.999512,0.999502,0.998441,0.907718,7.261741,
00064,0.998440,0.940723,0.999444,0.892356,0.933569,0.996071,0.998416,0.999070,0.997945,0.999467,0.892356,7.138845,
00065,0.998643,0.933418,0.999339,0.905553,0.929468,0.952275,0.999438,0.999621,0.998511,0.998382,0.905553,7.244421,
00066,0.998421,0.950820,0.999192,0.911904,0.935706,0.997011,0.998312,0.997744,0.998843,0.998652,0.911904,7.295230,
00067,0.998420,0.933953,0.999428,0.891435,0.931491,0.998461,0.998198,0.998283,0.999129,0.998833,0.891435,7.131480,
00068,0.998552,0.944485,0.999432,0.939779,0.927497,0.995281,0.998559,0.997960,0.998842,0.999757,0.927497,7.419976,
00069,0.998237,0.933327,0.999231,0.881436,0.929468,0.973446,0.998404,0.998387,0.999350,0.999054,0.881436,7.051488,
00070,0.997832,0.945125,0.999002,0.909770,0.935706,0.998647,0.998198,0.999009,0.998849,0.998609,0.909770,7.278164,
