File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.998116,0.945276,0.999566,0.988275,0.931491,0.998497,0.998440,0.984572,0.999118,0.998474,0.931491,7.451926,
00002,0.998299,0.935819,0.999552,0.878389,0.929468,0.988027,0.998310,0.998127,0.998379,0.999445,0.878389,7.027109,
00003,0.997461,0.960919,0.999125,0.895838,0.933569,0.995431,0.997456,0.998977,0.998219,0.998148,0.895838,7.166706,
00004,0.998397,0.957945,0.999659,0.889845,0.927497,0.997556,0.999210,0.998136,0.998232,0.998622,0.889845,7.118758,
00005,0.998500,0.940811,0.999821,0.885745,0.931491,0.988027,0.999449,0.998683,0.998541,0.999018,0.885745,7.085957,
00006,0.998066,0.968717,0.999558,0.915712,0.935706,0.876061,0.998924,0.998712,0.999091,0.998488,0.876061,7.008488,
00007,0.998601,0.938143,0.999777,0.895350,0.935706,0.990036,0.998474,0.999383,0.999926,0.999273,0.895350,7.162803,
00008,0.998320,0.946659,0.999525,0.915501,0.935706,0.997566,0.998580,0.998119,0.999158,0.998853,0.915501,7.324007,
00009,0.998563,0.969327,0.999639,0.899283,0.929468,0.995180,0.998708,0.998986,0.998056,0.999148,0.899283,7.194260,
00010,0.998564,0.957960,0.999653,0.907326,0.935706,0.988321,0.999520,0.999153,0.999743,0.999280,0.907326,7.258607,
00011,0.998438,0.970319,0.999406,0.896848,0.931491,0.998561,0.998753,0.999113,0.998992,0.999198,0.896848,7.174783,
00012,0.997405,0.933359,0.998197,0.921297,0.931491,0.997594,0.998030,0.998316,0.998026,0.997642,0.921297,7.370374,
00013,0.998240,0.967436,0.999365,0.923343,0.931491,0.952275,0.998911,0.999201,0.998716,0.998341,0.923343,7.386743,
00014,0.998226,0.944890,0.999634,0.903207,0.931491,0.998712,0.998243,0.998750,0.998946,0.998656,0.903207,7.225653,
00015,0.997709,0.939838,0.999060,0.903060,0.931491,0.995506,0.998455,0.999635,0.997657,0.998733,0.903060,7.224482,
00016,0.998450,0.947778,0.999308,0.883523,0.933569,0.998579,0.998411,0.998685,0.998623,0.998373,0.883523,7.068186,
00017,0.998407,0.942123,0.999665,0.922114,0.931491,0.998653,0.998933,0.998902,0.999468,0.998941,0.922114,7.376915,
00018,0.998208,0.944458,0.999561,0.907659,0.931491,0.981915,0.998759,0.999284,0.998009,0.998833,0.907659,7.261270,
00019,0.998509,0.954858,0.999831,0.902199,0.933569,0.992314,0.997198,0.997402,0.998829,0.999153,0.902199,7.217591,
00020,0.998488,0.936654,0.999171,0.936000,0.931491,0.998406,0.998302,0.997438,0.997319,0.998721,0.931491,7.451926,
00021,0.998366,0.938957,0.999468,0.937598,0.929468,0.932005,0.998960,0.998009,0.998252,0.998904,0.929468,7.435741,
00022,0.998601,0.944413,0.999537,0.927818,0.925576,0.995281,0.998836,0.999288,0.997907,0.998769,0.925576,7.404611,
00023,0.997975,0.945971,0.999166,0.880304,0.929468,0.998628,0.998537,0.998362,0.998962,0.999133,0.880304,7.042429,
00024,0.998187,0.953471,0.999514,0.893250,0.933569,0.988820,0.998657,0.998512,0.997809,0.998797,0.893250,7.145996,
00025,0.997756,0.954230,0.998593,0.919922,0.935706,0.998652,0.997280,0.998655,0.999252,0.997992,0.919922,7.359380,
00026,0.998613,0.938400,0.999848,0.913449,0.927497,0.900405,0.918777,0.999133,0.999028,0.950566,0.900405,7.203237,
00027,0.997994,0.970266,0.999178,0.919927,0.929468,0.952275,0.999089,0.998493,0.998072,0.997960,0.919927,7.359418,
00028,0.998201,0.945293,0.999697,0.897681,0.935706,0.996240,0.999124,0.998513,0.998505,0.999032,0.897681,7.181451,
