File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.998357,0.956170,0.999531,0.873584,0.931491,0.997831,0.998166,0.998708,0.998923,0.999194,0.873584,6.988668,
00002,0.997873,0.933272,0.998901,0.935252,0.931491,0.988346,0.998593,0.998741,0.999113,0.998188,0.931491,7.451926,
00003,0.998356,0.928756,0.999533,0.941866,0.933569,0.995180,0.998818,0.999310,0.998859,0.998586,0.928756,7.430044,
00004,0.998177,0.951408,0.999326,0.893122,0.931491,0.998060,0.998481,0.998563,0.998836,0.998390,0.893122,7.144975,
00005,0.998539,0.959056,0.999232,0.956153,0.929468,0.987773,0.998371,0.998260,0.999027,0.998863,0.929468,7.435741,
00006,0.998254,0.948133,0.999439,0.903791,0.929468,0.976748,0.999437,0.999513,0.999244,0.998358,0.903791,7.230327,
00007,0.998152,0.936909,0.999537,0.905499,0.931491,0.998443,0.999282,0.998908,0.999111,0.998328,0.905499,7.243995,
00008,0.998213,0.943537,0.999473,0.887841,0.929468,0.965562,0.998922,0.998937,0.998830,0.999696,0.887841,7.102730,
00009,0.998041,0.960545,0.999587,0.898945,0.929468,0.998670,0.999241,0.998942,0.998424,0.998570,0.898945,7.191564,
00010,0.998493,0.953106,0.999896,0.910779,0.933569,0.992756,0.998684,0.998742,0.998097,0.998904,0.910779,7.286229,
00011,0.998515,0.935206,0.998916,0.886852,0.933569,0.997533,0.998438,0.998899,0.998774,0.997980,0.886852,7.094813,
00012,0.998636,0.958093,0.999294,0.892308,0.931491,0.991344,0.998946,0.999212,0.997485,0.998243,0.892308,7.138462,
00013,0.998095,0.930316,0.998915,0.896617,0.933569,0.997988,0.998333,0.999037,0.999389,0.998688,0.896617,7.172939,
00014,0.998422,0.938772,0.999473,0.891513,0.923703,0.998481,0.998990,0.998681,0.997975,0.999449,0.891513,7.132103,
00015,0.998027,0.945002,0.999577,0.926090,0.933569,0.987773,0.998723,0.999226,0.998509,0.998594,0.926090,7.408719,
00016,0.998508,0.947093,0.999763,0.898991,0.931491,0.993487,0.999605,0.998711,0.999290,0.999048,0.898991,7.191925,
00017,0.998191,0.950445,0.999593,0.903040,0.929468,0.973446,0.997491,0.998580,0.998766,0.998598,0.903040,7.224318,
00018,0.998280,0.965679,0.999660,0.908895,0.933569,0.960458,0.998013,0.998676,0.998472,0.999030,0.908895,7.271157,
00019,0.998549,0.962478,0.999904,0.915276,0.931491,0.998719,0.950566,0.998163,0.999735,0.999088,0.915276,7.322207,
00020,0.998668,0.935230,0.999869,0.897161,0.933569,0.972272,0.998991,0.998674,0.997932,0.999891,0.897161,7.177286,
00021,0.998035,0.950196,0.999253,0.890751,0.931491,0.973446,0.998328,0.999175,0.998814,0.998528,0.890751,7.126012,
00022,0.998560,0.958594,0.999309,0.911316,0.927497,0.987773,0.998217,0.998937,0.999034,0.998999,0.911316,7.290527,
00023,0.998652,0.964821,0.999454,0.915219,0.929468,0.995450,0.999229,0.999610,0.998267,0.998898,0.915219,7.321750,
00024,0.998570,0.949642,0.999599,0.888941,0.935706,0.981915,0.999056,0.998885,0.998894,0.999370,0.888941,7.111531,
00025,0.998637,0.948900,0.999050,0.909101,0.933569,0.985791,0.998514,0.998927,0.998245,0.998076,0.909101,7.272810,
00026,0.998672,0.957342,0.999213,0.914033,0.927497,0.995431,0.998018,0.998918,0.999075,0.997939,0.914033,7.312260,
00027,0.998319,0.933500,0.998723,0.901270,0.935706,0.996613,0.998427,0.998733,0.998644,0.997949,0.901270,7.210159,
00028,0.997857,0.942799,0.999493,0.911230,0.931491,0.992629,0.998212,0.999183,0.999146,0.998281,0.911230,7.289840,
00029,0.998625,0.949556,0.999420,0.897228,0.931491,0.998636,0.998480,0.999352,0.999336,0.998776,0.897228,7.177824,
