File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.997682,0.936271,0.998665,0.945743,0.931491,0.989815,0.998189,0.984572,0.998766,0.998415,0.931491,7.451926,
00002,0.998450,0.966795,0.999436,0.923493,0.929468,0.997639,0.998950,0.998628,0.998219,0.999167,0.923493,7.387940,
00003,0.998080,0.943067,0.999460,0.906414,0.931491,0.952275,0.998932,0.998468,0.998942,0.998231,0.906414,7.251309,
00004,0.998395,0.959623,0.999538,0.898780,0.931491,0.995579,0.998177,0.997939,0.999499,0.998520,0.898780,7.190241,
00005,0.998570,0.961817,0.998864,0.904041,0.935706,0.993068,0.999004,0.998265,0.997990,0.998262,0.904041,7.232331,
00006,0.998352,0.982487,0.999672,0.894094,0.929468,0.972872,0.998545,0.998399,0.998489,0.999704,0.894094,7.152748,
00007,0.998623,0.951869,0.999911,0.939910,0.933569,0.992400,0.998431,0.998570,0.999038,0.999762,0.933569,7.468554,
00008,0.998577,0.944210,0.999884,0.902018,0.933569,0.972272,0.997813,0.997988,0.998493,0.999153,0.902018,7.216141,
00009,0.997952,0.940687,0.998487,0.919584,0.933569,0.995506,0.997460,0.998184,0.999241,0.998802,0.919584,7.356670,
00010,0.998594,0.935564,0.999376,0.896171,0.929468,0.973446,0.998359,0.998607,0.998967,0.998618,0.896171,7.169372,
00011,0.998375,0.957723,0.999555,0.892482,0.931491,0.981915,0.998609,0.998291,0.998487,0.998515,0.892482,7.139854,
00012,0.997828,0.939122,0.998369,0.887199,0.931491,0.976748,0.998874,0.999293,0.997726,0.998186,0.887199,7.097594,
00013,0.997506,0.940507,0.997752,0.867336,0.929468,0.972272,0.997859,0.999186,0.997767,0.998424,0.867336,6.938688,
00014,0.997391,0.939047,0.998222,0.906284,0.931491,0.998713,0.997848,0.998549,0.998458,0.997577,0.906284,7.250272,
00015,0.998446,0.929522,0.999162,0.901582,0.929468,0.952275,0.998378,0.998177,0.998729,0.998424,0.901582,7.212658,
00016,0.998130,0.939955,0.998989,0.897401,0.929468,0.938256,0.998445,0.999044,0.998364,0.999174,0.897401,7.179205,
00017,0.998587,0.946584,0.999697,0.930157,0.929468,0.893948,0.998504,0.997250,0.998393,0.999333,0.893948,7.151583,
00018,0.998313,0.949813,0.999719,0.937708,0.933569,0.951244,0.998700,0.998502,0.999356,0.998611,0.933569,7.468554,
00019,0.998016,0.940098,0.999107,0.921680,0.933569,0.993083,0.998513,0.997894,0.998609,0.998569,0.921680,7.373438,
00020,0.997757,0.960522,0.999280,0.880935,0.935706,0.984156,0.998033,0.999066,0.998280,0.998036,0.880935,7.047476,
00021,0.998110,0.943837,0.999003,0.893913,0.933569,0.998394,0.998275,0.999515,0.998697,0.997996,0.893913,7.151302,
00022,0.998437,0.953312,0.999850,0.882651,0.935706,0.972272,0.998813,0.999093,0.998452,0.999133,0.882651,7.061205,
00023,0.998351,0.953272,0.999459,0.894116,0.933569,0.842351,0.999389,0.999453,0.999033,0.998599,0.842351,6.738808,
00024,0.998105,0.940982,0.998936,0.904259,0.929468,0.952275,0.998562,0.997524,0.998889,0.998585,0.904259,7.234076,
00025,0.998639,0.934045,0.999619,0.929550,0.933569,0.972872,0.998838,0.998192,0.998510,0.998460,0.929550,7.436402,
00026,0.998057,0.954934,0.999453,0.904964,0.931491,0.951244,0.918777,0.998930,0.998104,0.998922,0.904964,7.239716,
00027,0.997994,0.951888,0.999268,0.895253,0.933569,0.858875,0.998050,0.999537,0.998038,0.999447,0.858875,6.871004,
00028,0.998312,0.943646,0.999741,0.886385,0.927497,0.982296,0.998257,0.998526,0.999315,0.998646,0.886385,7.091080,
00029,0.997955,0.942612,0.999537,0.906071,0.933569,0.997011,0.998251,0.998465,0.998171,0.998582,0.906071,7.248567,
00030,0.998649,0.946919,0.999530,0.882141,0.933569,0.998723,0.998959,0.998901,0.998372,0.999018,0.882141,7.057132,
00031,0.998462,0.947046,0.999233,0.917676,0.933569,0.973446,0.999006,0.999162,0.998485,0.998170,0.917676,7.341411,
00032,0.998308,0.939777,0.999608,0.950225,0.931491,0.998733,0.999189,0.999398,0.998763,0.998824,0.931491,7.451926,
00033,0.998618,0.942462,0.999143,0.916435,0.931491,0.995506,0.998854,0.998412,0.998622,0.998241,0.916435,7.331480,
00034,0.998417,0.958182,0.999618,0.875644,0.931491,0.988027,0.998974,0.998533,0.999131,0.999064,0.875644,7.005148,
00035,0.998389,0.935056,0.999716,0.914031,0.931491,0.995180,0.999042,0.997964,0.998249,0.998768,0.914031,7.312245,
00036,0.997495,0.960269,0.999057,0.883083,0.931491,0.998696,0.998085,0.997967,0.998643,0.998032,0.883083,7.064665,
00037,0.998506,0.941649,0.999894,0.957530,0.931491,0.932005,0.998563,0.998496,0.999702,0.999859,0.931491,7.451926,
00038,0.998160,0.929991,0.998685,0.896682,0.935706,0.992511,0.997827,0.997992,0.999059,0.998399,0.896682,7.173453,
00039,0.997552,0.958995,0.999216,0.914923,0.933569,0.998643,0.999092,0.999432,0.998658,0.998149,0.914923,7.319385,
00040,0.998642,0.951199,0.999945,0.900124,0.929468,0.989075,0.998650,0.999185,0.999026,0.999877,0.900124,7.200990,
00041,0.998526,0.958594,0.998849,0.903330,0.929468,0.997081,0.998818,0.997869,0.998466,0.997751,0.903330,7.226639,
00042,0.998276,0.956419,0.998764,0.915483,0.935706,0.995506,0.998599,0.998023,0.998404,0.997504,0.915483,7.323864,
00043,0.998345,0.957797,0.999743,0.897500,0.929468,0.893948,0.998218,0.999699,0.999991,0.998759,0.893948,7.151583,
00044,0.997892,0.972449,0.999463,0.871759,0.933569,0.995506,0.998924,0.998758,0.997676,0.998211,0.871759,6.974076,
00045,0.998247,0.932522,0.999202,0.916005,0.929468,0.989310,0.998681,0.998785,0.999375,0.999038,0.916005,7.328043,
00046,0.997986,0.948900,0.999382,0.900697,0.931491,0.932005,0.998911,0.999500,0.998883,0.998207,0.900697,7.205575,
00047,0.998623,0.935010,0.999881,0.880730,0.933569,0.992039,0.998616,0.999344,0.998714,0.999977,0.880730,7.045842,
00048,0.998643,0.930112,0.998743,0.895292,0.931491,0.952275,0.998872,0.918778,0.998355,0.997725,0.895292,7.162339,
00049,0.997632,0.953007,0.998646,0.930395,0.935706,0.991211,0.998882,0.998240,0.998216,0.998260,0.930395,7.443163,
00050,0.998027,0.957080,0.999325,0.890581,0.935706,0.981516,0.997976,0.998727,0.999104,0.998496,0.890581,7.124648,
00051,0.998047,0.938797,0.998739,0.890703,0.933569,0.996909,0.999258,0.998814,0.998811,0.998445,0.890703,7.125627,
00052,0.998127,0.945518,0.999264,0.882502,0.931491,0.991868,0.999433,0.998916,0.998318,0.998729,0.882502,7.060014,
00053,0.998670,0.937897,0.998804,0.906436,0.933569,0.996505,0.998741,0.998802,0.998232,0.997828,0.906436,7.251489,
00054,0.998395,0.942070,0.999633,0.913388,0.925576,0.973446,0.997646,0.998918,0.999134,0.999018,0.913388,7.307102,
00055,0.997902,0.956612,0.999551,0.895830,0.933569,0.997668,0.998019,0.997684,0.998078,0.998093,0.895830,7.166642,
00056,0.998605,0.945209,0.999338,0.930245,0.933569,0.997182,0.998177,0.999293,0.999106,0.998183,0.930245,7.441957,
