File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.190791,0.190493,0.192303,0.108838,0.190791,0.349125,0.190794,0.310236,0.190793,0.190793,0.108838,0.108838,
00002,0.192012,0.190922,0.193029,0.109672,0.191661,0.363267,0.192018,0.337600,0.192014,0.192014,0.109672,0.109672,
00003,0.191218,0.190863,0.192911,0.109251,0.188586,0.342584,0.191218,0.355455,0.191220,0.191222,0.109251,0.109251,
00004,0.191558,0.190944,0.192829,0.109659,0.191491,0.368665,0.191561,0.337600,0.191560,0.191560,0.109659,0.109659,
00005,0.190955,0.191049,0.192632,0.109254,0.190955,0.363628,0.190947,0.332720,0.190962,0.190952,0.109254,0.109254,
00006,0.191116,0.190471,0.192413,0.109163,0.182176,0.350041,0.191121,0.332720,0.191118,0.191121,0.109163,0.109163,
00007,0.192508,0.191905,0.194004,0.109974,0.192508,0.367738,0.192510,0.358510,0.192510,0.192513,0.109974,0.109974,
00008,0.191198,0.191275,0.192874,0.109289,0.191198,0.361911,0.191197,0.337600,0.191201,0.191200,0.109289,0.109289,
00009,0.190790,0.190075,0.191901,0.109115,0.184490,0.345901,0.190788,0.314494,0.190792,0.190791,0.109115,0.109115,
00010,0.190734,0.189951,0.191986,0.109083,0.190596,0.336282,0.190729,0.354665,0.190736,0.190729,0.109083,0.109083,
00011,0.190745,0.190332,0.191997,0.109126,0.183147,0.329847,0.190748,0.273095,0.190747,0.190747,0.109126,0.109126,
00012,0.191143,0.190893,0.192819,0.109308,0.191054,0.365974,0.191146,0.356351,0.191145,0.191146,0.109308,0.109308,
00013,0.191627,0.191162,0.192744,0.109558,0.191352,0.356537,0.191627,0.294267,0.191629,0.191629,0.109558,0.109558,
00014,0.190701,0.190287,0.192200,0.108848,0.185232,0.353845,0.190696,0.353927,0.190703,0.190701,0.108848,0.108848,
00015,0.190346,0.190051,0.191809,0.108626,0.172813,0.331694,0.190335,0.353824,0.190347,0.190347,0.108626,0.108626,
00016,0.191561,0.190576,0.192892,0.109721,0.179158,0.345673,0.191555,0.355481,0.191564,0.191558,0.109721,0.109721,
00017,0.190391,0.190348,0.191933,0.108869,0.190391,0.358805,0.190384,0.323358,0.190393,0.190396,0.108869,0.108869,
00018,0.190837,0.190319,0.192080,0.109106,0.190756,0.360267,0.190840,0.353932,0.190839,0.190839,0.109106,0.109106,
00019,0.190972,0.191442,0.192753,0.109211,0.190972,0.356046,0.190975,0.354001,0.190974,0.190974,0.109211,0.109211,
00020,0.191425,0.190793,0.192929,0.109393,0.189075,0.339464,0.191420,0.332720,0.191427,0.191425,0.109393,0.109393,
00021,0.190719,0.190219,0.191958,0.109209,0.190497,0.342718,0.190717,0.342621,0.190721,0.190721,0.109209,0.109209,
00022,0.191699,0.190995,0.192843,0.109569,0.188394,0.364206,0.191698,0.314494,0.191702,0.191700,0.109569,0.109569,
00023,0.191307,0.190949,0.192825,0.109266,0.190955,0.353555,0.191305,0.355642,0.191309,0.191310,0.109266,0.109266,
00024,0.191515,0.190896,0.192683,0.109416,0.183523,0.348827,0.191517,0.318866,0.191518,0.191519,0.109416,0.109416,
00025,0.191190,0.190721,0.192561,0.109225,0.191012,0.361898,0.191192,0.306088,0.191192,0.191192,0.109225,0.109225,
00026,0.190875,0.190542,0.192342,0.108997,0.190875,0.358935,0.190867,0.356218,0.190877,0.190875,0.108997,0.108997,
00027,0.191984,0.191611,0.193475,0.109587,0.185474,0.355657,0.191988,0.327974,0.191986,0.191987,0.109587,0.109587,
