File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.998548,0.939661,0.999463,0.876681,0.931491,0.952275,0.998501,0.998966,0.998672,0.998727,0.876681,7.013449,
00002,0.997383,0.955432,0.998873,0.911028,0.929468,0.982296,0.998643,0.999014,0.997903,0.997915,0.911028,7.288226,
00003,0.998557,0.937175,0.999912,0.894700,0.933569,0.998684,0.998160,0.999001,0.999027,1.000000,0.894700,7.157597,
00004,0.998437,0.948199,0.999862,0.907567,0.933569,0.976225,0.998871,0.999055,0.999473,0.999045,0.907567,7.260534,
00005,0.998087,0.947896,0.999356,1.000000,0.931491,0.998689,0.998800,0.998656,0.998338,0.999180,0.931491,7.451926,
00006,0.998092,0.938039,0.999506,0.884182,0.925576,0.932005,0.999014,0.998101,0.998606,0.998260,0.884182,7.073459,
00007,0.998531,0.958858,0.999385,0.893046,0.929468,0.988027,0.998815,0.999074,0.997825,0.998510,0.893046,7.144368,
00008,0.998179,0.950965,0.999092,0.890293,0.931491,0.952275,0.998807,0.998843,0.998513,0.998747,0.890293,7.122345,
00009,0.998186,0.950858,0.999631,0.885459,0.931491,0.972872,0.999052,0.998814,0.999149,0.998611,0.885459,7.083672,
00010,0.998554,0.943717,0.999787,0.901934,0.929468,0.981915,0.999495,0.998729,0.998743,0.999133,0.901934,7.215472,
00011,0.998654,0.938872,0.999457,0.913331,0.929468,0.959590,0.999044,0.998647,0.997928,0.998489,0.913331,7.306647,
00012,0.998381,0.963083,0.999813,0.910257,0.931491,0.982296,0.997761,0.998103,0.998300,0.998963,0.910257,7.282054,
00013,0.998387,0.929210,0.999362,0.907387,0.933569,0.932005,0.999124,0.998602,0.998409,0.998744,0.907387,7.259098,
00014,0.998304,0.938697,0.998928,0.879580,0.933569,0.995431,0.998410,0.998017,0.998171,0.997777,0.879580,7.036643,
00015,0.997896,0.935267,0.999010,0.916592,0.931491,0.992511,0.998574,0.998861,0.998583,0.998198,0.916592,7.332735,
00016,0.998296,0.933884,0.998744,0.917814,0.945897,0.987507,0.998342,0.999331,0.998519,0.997894,0.917814,7.342515,
00017,0.998367,0.948223,0.999377,0.913487,0.933569,0.997620,0.998127,0.997342,0.999524,0.998911,0.913487,7.307896,
00018,0.998535,0.960522,0.999574,0.907229,0.931491,0.842351,0.998539,0.999109,0.998746,0.998570,0.842351,6.738808,
00019,0.998632,0.954332,0.999421,0.912094,0.931491,0.998722,0.998925,0.999199,0.950566,0.998514,0.912094,7.296754,
00020,0.998138,0.936534,0.999203,0.953562,0.931491,0.972872,0.998797,0.998504,0.998878,0.998822,0.931491,7.451926,
00021,0.998424,0.942468,0.999182,0.920663,0.927497,0.982593,0.999370,0.998523,0.999268,0.998245,0.920663,7.365304,
00022,0.998289,0.949111,0.999152,0.888175,0.929468,0.987869,0.998971,0.999166,0.998474,0.997981,0.888175,7.105400,
00023,0.998385,0.950351,0.999616,0.885650,0.935706,0.998704,0.999189,0.998249,0.998833,0.999042,0.885650,7.085201,
00024,0.998205,0.942756,0.999693,0.893082,0.935706,0.998561,0.999343,0.999541,0.998161,0.998554,0.893082,7.144657,
00025,0.998309,0.942638,0.999033,0.881459,0.931491,0.932005,0.999056,0.997860,0.998945,0.998719,0.881459,7.051670,
00026,0.998319,0.961833,0.999208,0.919713,0.933569,0.993944,0.998540,0.998624,0.998419,0.998786,0.919713,7.357703,
00027,0.998448,0.925546,0.998774,0.909106,0.931491,0.998395,0.999069,0.998314,0.998956,0.998206,0.909106,7.272850,
00028,0.998526,0.945265,0.999641,0.900614,0.931491,0.982296,0.999026,0.997891,0.999050,0.998753,0.900614,7.204913,
00029,0.998608,0.935559,0.999788,0.882942,0.931491,0.984502,0.998470,0.998166,0.999373,0.999098,0.882942,7.063533,
00030,0.998235,0.942080,0.999739,0.911469,0.933569,0.998735,0.999397,0.998698,0.998606,0.998968,0.911469,7.291752,
