File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.995397,0.888817,0.996732,0.826655,0.929847,0.898042,0.997191,0.997243,0.995190,0.994191,0.826655,0.826655,
00002,0.995069,1.000000,0.995105,0.875430,0.943334,0.992494,0.994975,0.996834,0.993609,0.992117,0.875430,0.875430,
00003,0.996021,0.964327,0.999432,0.821973,0.941540,0.994420,0.996359,0.998568,0.996283,0.909707,0.821973,0.821973,
00004,0.994937,0.920518,0.998554,0.837816,0.936354,0.995645,0.996713,0.995864,0.995820,0.996535,0.837816,0.837816,
00005,0.995520,0.876184,0.997787,0.887330,0.921623,0.996199,0.999993,0.995257,0.994707,0.996569,0.876184,0.876184,
00006,0.995216,0.903896,0.997465,0.846586,0.941540,0.989705,0.994475,0.995746,0.995650,0.997335,0.846586,0.846586,
00007,0.994129,0.895092,0.994713,0.962413,0.938052,0.996103,0.998240,0.996797,0.944844,0.944843,0.895092,0.895092,
00008,0.994115,0.923032,0.998518,0.880419,0.921623,0.994012,0.998707,0.996817,0.996646,0.994596,0.880419,0.880419,
00009,0.996090,0.891496,0.996862,0.864565,0.914226,0.993204,0.998687,0.997338,0.995224,0.994613,0.864565,0.864565,
00010,0.995003,0.915960,0.997726,0.879694,0.921623,0.992373,0.994277,0.995387,0.996718,0.995591,0.879694,0.879694,
00011,0.994344,0.923879,0.999001,0.815476,0.941540,0.996095,0.995991,0.998897,0.996438,0.995329,0.815476,0.815476,
00012,0.996188,0.900888,0.999670,0.834248,0.921623,0.993732,0.995622,0.996958,0.995584,0.997998,0.834248,0.834248,
00013,0.993414,0.901173,0.996807,0.845318,0.921623,0.898042,0.996644,0.997635,0.995040,0.994182,0.845318,0.845318,
00014,0.994937,0.935693,0.999011,0.826251,0.931433,0.989506,0.996863,0.993883,0.993586,0.995772,0.826251,0.826251,
00015,0.995866,0.913861,0.999453,0.834808,0.939780,0.983918,0.994601,0.997485,0.994776,1.000000,0.834808,0.834808,
00016,0.992417,0.906732,0.995027,0.888939,0.919089,0.995039,0.995850,0.944844,0.996012,0.993673,0.888939,0.888939,
00017,0.996116,0.914415,0.997750,0.840552,0.939780,0.996266,0.996339,0.996304,0.995446,0.994429,0.840552,0.840552,
00018,0.995377,0.902898,0.998682,0.848980,0.919089,0.995347,0.995864,0.995142,0.997844,0.997413,0.848980,0.848980,
00019,0.995923,0.913311,0.999652,0.875342,0.943334,0.977339,0.996489,0.997946,0.995078,0.997240,0.875342,0.875342,
00020,0.993514,0.907189,0.997863,0.858515,0.921623,0.995462,0.995159,0.998424,0.994528,0.994122,0.858515,0.858515,
00021,0.994620,0.903262,0.997987,0.843879,0.914226,0.967210,0.995087,0.995556,0.994632,0.996126,0.843879,0.843879,
00022,0.995377,0.877128,0.996378,0.842398,0.936354,0.996167,0.997589,0.996368,0.995394,0.994958,0.842398,0.842398,
00023,0.995794,0.923721,0.999080,0.838911,0.919089,0.996348,0.996517,0.996022,0.999106,0.997433,0.838911,0.838911,
00024,0.994344,0.966356,0.998424,0.853828,0.921623,0.995878,0.997430,0.997352,0.997512,0.995398,0.853828,0.853828,
