File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.998404,0.955418,0.999828,0.917476,0.929468,0.998676,0.999064,0.998512,0.998736,0.999038,0.917476,7.339804,
00002,0.998529,0.928955,0.999322,0.916482,0.929468,0.972872,0.998573,0.999292,0.998184,0.999061,0.916482,7.331854,
00003,0.998610,0.961160,0.999552,0.902758,0.931491,0.989310,0.998304,0.998779,0.999183,0.998858,0.902758,7.222060,
00004,0.998227,0.950946,0.998886,0.895874,0.935706,0.998187,0.998969,0.998144,0.998027,0.997720,0.895874,7.166989,
00005,0.997925,0.941293,0.999547,0.916060,0.931491,0.995506,0.996928,0.997733,0.998653,0.998228,0.916060,7.328484,
00006,0.997939,0.943078,0.999570,0.953849,0.933569,0.969562,0.999670,0.999219,0.999094,0.998629,0.933569,7.468554,
00007,0.997848,0.930795,0.998643,0.875536,0.929468,0.996170,0.999083,0.997630,0.999505,0.998778,0.875536,7.004290,
00008,0.998673,0.953826,0.999430,0.897116,0.933569,0.998709,0.999216,0.997965,0.998662,0.998507,0.897116,7.176927,
00009,0.998615,0.946659,0.998853,0.875440,0.931491,0.997282,0.998986,0.999237,0.998596,0.997782,0.875440,7.003516,
00010,0.998353,0.942223,0.999791,0.879965,0.933569,0.998694,0.998488,0.999554,0.984572,0.999257,0.879965,7.039717,
00011,0.998344,0.948569,0.999664,0.882762,0.935706,0.998643,0.998366,0.998400,0.998894,0.999197,0.882762,7.062092,
00012,0.998678,0.947338,0.999751,0.926377,0.933569,0.989310,0.999804,0.999480,0.999228,0.999401,0.926377,7.411014,
00013,0.998392,0.937428,0.999196,0.879914,0.933569,0.997021,0.998233,0.998787,0.999266,0.998494,0.879914,7.039310,
00014,0.998501,0.944579,0.999721,0.918868,0.933569,0.992400,0.998577,0.998157,0.999091,0.999480,0.918868,7.350944,
00015,0.997828,0.935928,0.998707,0.903374,0.933569,0.993083,0.998938,0.999027,0.998625,0.998488,0.903374,7.226989,
00016,0.998426,0.954982,0.999514,0.915245,0.933569,0.995431,0.998772,0.998542,0.999382,0.999377,0.915245,7.321962,
00017,0.998530,0.943646,0.999484,0.924141,0.929468,0.997291,0.999072,0.998336,0.997754,0.998937,0.924141,7.393127,
00018,0.998456,0.944807,0.999805,0.929210,0.935706,0.995579,0.998692,0.997500,0.999074,0.999206,0.929210,7.433680,
00019,0.998035,0.946102,0.999207,0.894164,0.933569,0.993220,0.998268,0.998749,0.997833,0.998412,0.894164,7.153314,
00020,0.998257,0.941570,0.999344,0.904027,0.931491,0.989815,0.998321,0.997956,0.998871,0.998571,0.904027,7.232213,
00021,0.998558,0.953879,0.999880,0.932364,0.929468,0.992039,0.998118,0.997689,0.998696,0.998863,0.929468,7.435741,
00022,0.998489,0.954434,0.999837,0.932755,0.923703,0.972872,0.998838,0.999278,0.999541,0.999235,0.923703,7.389625,
00023,0.998454,0.948044,0.999367,0.900745,0.929468,0.997891,0.998715,0.998767,0.998489,0.998967,0.900745,7.205962,
00024,0.998205,0.943283,0.999178,0.945293,0.931491,0.988829,0.998685,0.999604,0.999543,0.998623,0.931491,7.451926,
00025,0.997550,0.944226,0.998911,0.882647,0.929468,0.962310,0.998390,0.998619,0.998592,0.997838,0.882647,7.061174,
00026,0.998307,0.971803,0.999190,0.886497,0.933569,0.976748,0.998198,0.998351,0.999070,0.998309,0.886497,7.091973,
00027,0.998381,0.938251,0.999088,0.881733,0.931491,0.995351,0.998639,0.998248,0.998375,0.998705,0.881733,7.053866,
00028,0.998206,0.941148,0.998932,0.923540,0.933569,0.972272,0.998016,0.999078,0.999118,0.998388,0.923540,7.388317,
00029,0.998249,0.940888,0.999216,0.879095,0.933569,0.995506,0.998091,0.999619,0.998512,0.998953,0.879095,7.032758,
00030,0.998464,0.954482,0.999550,0.880579,0.929468,0.997566,0.997413,0.998261,0.999762,0.998922,0.880579,7.044631,
00031,0.998328,0.952159,0.999627,0.927162,0.935706,0.972872,0.999175,0.998724,0.998655,0.999104,0.927162,7.417297,
00032,0.998494,0.961507,0.999706,0.885413,0.931491,0.968324,0.998371,0.997937,0.998316,0.999400,0.885413,7.083303,
00033,0.998299,0.946815,0.999429,0.896096,0.931491,0.989318,0.998131,0.998086,0.998549,0.998761,0.896096,7.168767,
00034,0.998501,0.954982,0.999884,0.934974,0.933569,0.998612,0.998348,0.998482,0.998988,0.999689,0.933569,7.468554,
00035,0.998423,0.961711,0.998704,0.913072,0.929468,0.973446,0.999085,0.998508,0.997918,0.997521,0.913072,7.304576,
00036,0.997913,0.937750,0.998879,0.888395,0.931491,0.991211,0.999875,0.999625,0.997743,0.998056,0.888395,7.107156,
00037,0.998683,0.949525,0.999919,0.865656,0.929468,0.998725,0.998363,0.999004,0.998925,0.999003,0.865656,6.925246,
00038,0.997918,0.954007,0.999562,0.898984,0.933569,0.987773,0.999244,0.999297,0.998802,0.998317,0.898984,7.191871,
00039,0.998676,0.955712,0.999800,0.895607,0.935706,0.982296,0.998253,0.997834,0.998539,0.999556,0.895607,7.164855,
00040,0.998156,0.946555,0.999591,0.902441,0.933569,0.998712,0.999923,0.997955,0.998497,0.998616,0.902441,7.219529,
00041,0.998558,0.962469,0.999839,0.896009,0.931491,0.982296,0.999008,0.997989,0.998233,0.999444,0.896009,7.168073,
00042,0.998026,0.949844,0.999125,0.886170,0.933569,0.995579,0.998291,0.999349,0.998637,0.998324,0.886170,7.089359,
00043,0.997891,0.922118,0.998908,0.896299,0.931491,0.996864,0.998965,0.998344,0.998473,0.998497,0.896299,7.170395,
00044,0.997765,0.938613,0.998210,0.913092,0.929468,0.973446,0.998986,0.999266,0.998663,0.998423,0.913092,7.304732,
00045,0.997565,0.940374,0.998794,0.908203,0.933569,0.994387,0.998085,0.998477,0.999015,0.997767,0.908203,7.265621,
00046,0.997529,0.935833,0.998717,0.967772,0.933569,0.998676,0.999105,0.999122,0.997790,0.997597,0.933569,7.468554,
00047,0.997956,0.940006,0.999233,0.916500,0.933569,0.996332,0.999274,0.998350,0.998716,0.998537,0.916500,7.331996,
00048,0.997961,0.931233,0.998419,0.898472,0.931491,0.995351,0.998200,0.998508,0.998146,0.998783,0.898472,7.187775,
00049,0.997680,0.966214,0.998884,0.909310,0.933569,0.952275,0.998820,0.998832,0.998131,0.998340,0.909310,7.274484,
00050,0.998376,0.947192,0.999588,0.894225,0.933569,0.994500,0.999158,0.998654,0.999677,0.999945,0.894225,7.153799,
00051,0.998594,0.944447,0.999553,0.931113,0.931491,0.998678,0.998390,0.997569,0.998675,0.999176,0.931113,7.448902,
00052,0.998124,0.948930,0.999677,0.884702,0.933569,0.973446,0.998139,0.998540,0.999784,0.999007,0.884702,7.077615,
00053,0.997678,0.946142,0.998642,0.912988,0.931491,0.998496,0.999261,0.999062,0.998105,0.998409,0.912988,7.303902,
00054,0.998307,0.941174,0.998989,0.911513,0.931491,0.991151,0.999202,0.998121,0.998614,0.998399,0.911513,7.292100,
00055,0.998188,0.948122,0.999340,0.899161,0.931491,0.993635,0.998399,0.997839,0.999299,0.998602,0.899161,7.193287,
00056,0.998488,0.950091,0.999768,0.888113,0.929468,0.939570,0.998852,0.997819,0.999648,0.999098,0.888113,7.104907,
