File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.995379,0.925347,0.998725,0.832514,0.911890,0.986126,0.996489,0.995070,0.996007,0.996284,0.832514,0.832514,
00002,0.995293,0.903945,0.999183,0.882886,0.921623,0.952250,0.999451,0.995111,0.997867,0.996028,0.882886,0.882886,
00003,0.995198,0.917246,0.999254,0.851752,0.921623,0.987990,0.996918,0.995798,0.996752,0.999145,0.851752,0.851752,
00004,0.994471,0.922009,0.998103,0.962508,0.921623,0.976827,0.996627,0.998018,0.996887,0.995249,0.921623,0.921623,
00005,0.995661,1.000000,0.997290,0.887500,0.921623,0.992494,0.997701,0.996471,0.994209,0.994446,0.887500,0.887500,
00006,0.996030,0.908032,0.999738,1.000000,0.919089,0.992728,0.998286,0.997024,0.998091,0.997730,0.908032,0.908032,
00007,0.993942,0.921032,0.997200,0.851129,0.939780,0.943002,0.997240,0.998707,0.997950,0.995758,0.851129,0.851129,
00008,0.996243,0.909458,0.997811,0.840051,0.941540,0.988055,0.992812,0.994188,0.996942,0.994837,0.840051,0.840051,
00009,0.994916,0.900747,0.996884,0.870576,0.939780,0.802386,0.996693,0.994852,0.997181,0.996728,0.802386,0.802386,
00010,0.994324,0.918555,0.997922,0.829307,0.916625,0.976827,0.994923,0.996181,0.997599,0.995286,0.829307,0.829307,
00011,0.995132,0.906228,0.997522,0.840737,0.939780,0.985320,0.994918,0.997871,0.995682,0.995280,0.840737,0.840737,
00012,0.995523,0.916244,0.999184,0.875742,0.938052,0.989583,0.997390,0.993567,0.996122,0.999015,0.875742,0.875742,
00013,0.993540,0.913889,0.997286,0.830782,0.933045,0.996270,0.995062,0.997062,0.995460,0.994889,0.830782,0.830782,
00014,0.995653,0.938523,0.999163,0.867734,0.919089,0.976827,0.994208,0.996149,0.998175,0.997154,0.867734,0.867734,
00015,0.994477,0.931913,0.998421,0.832874,0.941540,0.943002,0.994326,0.995835,0.994270,0.994633,0.832874,0.832874,
00016,0.994287,0.886757,0.995851,0.866151,0.938052,0.898042,0.997324,0.996791,0.993813,0.995157,0.866151,0.866151,
00017,0.994367,0.899364,0.997531,0.844654,0.939780,0.990968,0.994616,0.992456,0.995739,0.994599,0.844654,0.844654,
00018,0.995195,0.913393,0.999162,0.857924,0.938052,0.995132,0.996938,0.995810,0.997000,0.998110,0.857924,0.857924,
00019,0.995765,0.903994,0.999604,0.823327,0.919089,0.992385,0.998704,0.997551,0.997092,0.997240,0.823327,0.823327,
00020,0.995728,0.914973,0.998614,0.824097,0.911890,0.994460,0.997574,0.996846,0.996775,0.997995,0.824097,0.824097,
00021,0.995106,0.904609,0.996574,0.815314,0.921623,0.967210,0.998416,0.994656,0.996723,0.994860,0.815314,0.815314,
00022,0.995762,0.911014,0.999075,0.863193,0.938052,0.994038,0.997038,0.995392,0.994255,0.997689,0.863193,0.863193,
00023,0.995707,0.902729,0.998988,0.814535,0.919089,0.967210,0.995283,0.998571,0.997475,0.999105,0.814535,0.814535,
00024,0.995650,0.921427,0.998939,0.865457,0.939780,0.996358,0.996601,0.993912,0.996781,0.996846,0.865457,0.865457,
00025,0.996015,0.919738,0.997953,0.868462,0.931433,0.966445,0.995119,0.998467,0.998697,0.995482,0.868462,0.868462,
00026,0.996047,0.890899,0.997984,0.840382,0.921623,0.983918,0.995389,0.994648,0.995190,0.994987,0.840382,0.840382,
00027,0.995474,0.935580,0.998425,0.924488,0.919089,0.992693,0.995939,0.997174,0.997867,0.997790,0.919089,0.919089,
00028,0.995135,0.917391,0.997884,0.873615,0.941540,0.995676,0.994889,0.996017,0.996323,0.997433,0.873615,0.873615,
00029,0.995693,0.911014,0.998994,0.823434,0.943334,0.985320,0.996443,0.998929,0.996729,0.996555,0.823434,0.823434,
00030,0.994925,0.933281,0.997527,0.837832,0.921623,0.996228,0.994535,0.995226,0.996945,0.996670,0.837832,0.837832,
00031,0.995661,0.899643,0.999440,0.864803,0.938052,0.983918,0.996569,0.996823,0.996453,0.996935,0.864803,0.864803,
00032,0.995774,0.916987,0.999681,0.848606,0.941540,0.995664,0.994760,0.994044,0.998359,0.997865,0.848606,0.848606,
00033,0.995055,0.913174,0.998850,0.880434,0.921623,0.996323,0.998266,0.996733,0.997676,0.996656,0.880434,0.880434,
