File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.998527,0.932293,0.999413,0.893165,0.940739,0.998536,0.997774,0.998487,0.999151,0.999007,0.893165,6.252156,
00002,0.998447,0.933810,0.999570,0.883054,0.925490,0.996405,0.997677,0.997220,0.999670,0.998707,0.883054,6.181377,
00003,0.998398,0.937026,0.999554,0.893197,0.943705,0.964035,0.997351,0.997825,0.998873,0.999229,0.893197,6.252382,
00004,0.998035,0.953061,0.999274,0.903096,0.946785,0.994742,0.998677,0.998323,0.999520,0.998456,0.903096,6.321674,
00005,0.998487,0.953265,0.999477,0.913818,0.945230,0.990366,0.998507,0.997887,0.998719,0.999074,0.913818,6.396728,
00006,0.998546,0.967459,0.999725,0.922552,0.919252,0.996984,0.998082,0.998730,0.997866,0.999696,0.919252,6.434764,
00007,0.998240,0.940657,0.999293,0.881165,0.945230,0.983741,0.998768,0.998601,0.999181,0.999627,0.881165,6.168153,
00008,0.998429,0.925354,0.999902,0.887720,0.943705,0.942602,0.998652,0.998702,0.997999,0.999414,0.887720,6.214041,
00009,0.997367,0.943851,0.999110,0.906062,0.945230,0.951816,0.998801,0.999521,0.998386,0.997852,0.906062,6.342432,
00010,0.998345,0.952143,0.999453,0.884002,0.937879,0.976313,0.998507,0.999636,0.998477,0.998446,0.884002,6.188016,
00011,0.998439,0.941805,0.999458,0.913576,0.942208,0.994505,0.998124,0.999013,0.998877,0.998226,0.913576,6.395031,
00012,0.998407,0.932401,0.998615,0.914175,0.943705,0.964803,0.998261,0.998143,0.997972,0.997605,0.914175,6.399225,
00013,0.998409,0.946508,0.999288,0.877222,0.940739,0.998205,0.998146,0.998269,0.997965,0.998736,0.877222,6.140557,
00014,0.997726,0.963560,0.999385,0.922982,0.940739,0.923729,0.998320,0.998038,0.998625,0.998177,0.922982,6.460871,
00015,0.998421,0.931531,0.999434,0.914270,0.921275,0.972874,0.997838,0.998755,0.999357,0.998856,0.914270,6.399892,
00016,0.998321,0.943944,0.999712,0.926782,0.943705,0.995090,0.998740,0.998919,0.998906,0.999727,0.926782,6.487474,
00017,0.997929,0.936899,0.999401,0.892109,0.925490,0.985873,0.998928,0.998976,0.998608,0.998565,0.892109,6.244761,
00018,0.998585,0.942088,0.999337,0.893695,0.942208,0.987605,0.998505,0.998101,0.999471,0.998552,0.893695,6.255864,
00019,0.998377,0.961527,0.998467,0.909827,0.925490,0.995006,0.998698,0.998909,0.998115,0.997303,0.909827,6.368789,
00020,0.998591,0.947880,0.999571,0.893285,0.942208,0.998368,0.998770,0.998893,0.999369,0.999590,0.893285,6.252993,
00021,0.998524,0.930942,0.999321,0.900271,0.943705,0.992028,0.998059,0.998665,0.977685,0.998173,0.900271,6.301894,
00022,0.998232,1.000000,0.999011,0.923683,0.942208,0.991676,0.977685,0.998406,0.998642,0.998350,0.923683,6.465779,
00023,0.998062,0.937704,0.998641,0.915493,0.946785,0.942602,0.998711,0.998402,0.998824,0.998638,0.915493,6.408451,
00024,0.998248,0.942861,0.999500,0.914522,0.923353,0.985873,0.999597,0.998445,0.999339,0.998766,0.914522,6.401657,
00025,0.997544,0.943015,0.999246,0.895054,0.946785,0.981732,0.998855,0.997688,0.998182,0.997931,0.895054,6.265376,
00026,0.998042,0.951944,0.999477,0.891073,0.946785,0.988858,0.998133,0.998518,0.999038,0.998594,0.891073,6.237514,
00027,0.997915,0.929150,0.998501,0.895584,0.937879,0.998566,0.998671,0.998774,0.997854,0.998395,0.895584,6.269086,
00028,0.998396,0.950318,0.999527,0.916697,0.925490,0.996731,0.999941,0.997954,0.997087,0.998800,0.916697,6.416879,
00029,0.998026,0.945210,0.998807,0.892178,0.923353,0.998111,0.998673,0.998197,0.998576,0.998353,0.892178,6.245244,
00030,0.998198,0.949299,0.999736,0.895442,0.943705,0.998588,0.998164,0.998195,0.998872,0.998549,0.895442,6.268093,
00031,0.998141,0.947604,0.999009,0.917732,0.946785,0.964803,0.998463,0.998710,0.998048,0.998373,0.917732,6.424127,
00032,0.998348,0.941172,0.999814,0.890307,0.937879,0.997754,0.998115,0.999711,0.998910,0.999274,0.890307,6.232147,
00033,0.998290,0.939159,0.999368,0.900247,0.943705,0.996317,0.998269,0.998362,0.998559,0.998548,0.900247,6.301730,
00034,0.997121,0.928810,0.997366,0.892808,0.940739,0.997115,0.999759,0.999133,0.998799,0.998085,0.892808,6.249657,
00035,0.998375,0.939446,0.999670,0.913329,0.945230,0.986464,0.999723,0.999294,0.999146,0.998605,0.913329,6.393306,
00036,0.997469,0.950084,0.998337,0.898721,0.946785,0.997002,0.999001,0.998569,0.997626,0.997859,0.898721,6.291048,
00037,0.998226,0.939897,0.999162,0.892686,0.946785,0.963231,0.998702,0.997705,0.998966,0.998572,0.892686,6.248800,
00038,0.997332,0.953001,0.999209,0.913286,0.942208,0.985873,0.997997,0.997784,0.997822,0.997933,0.913286,6.392999,
00039,0.997982,0.944859,0.999062,0.914013,0.935118,0.998476,0.998237,0.999411,0.998550,0.998602,0.914013,6.398093,
00040,0.998385,0.951192,0.999507,0.915667,0.943705,0.964035,0.998175,0.998595,0.998729,0.999004,0.915667,6.409669,
00041,0.998592,0.953883,0.999676,0.887975,0.946785,0.998362,0.998057,0.997867,0.998461,0.999181,0.887975,6.215825,
00042,0.998479,0.982717,0.998798,0.898815,0.943705,0.995986,0.998881,0.999559,0.998493,0.997639,0.898815,6.291704,
00043,0.998404,0.931319,0.999411,0.948808,0.925490,0.973458,0.998319,0.998061,0.999150,0.998218,0.925490,6.478432,
00044,0.998578,0.945939,0.999944,0.916630,0.943705,0.998605,0.997882,0.943906,0.997730,0.999799,0.916630,6.416413,
00045,0.998242,0.948151,0.999578,0.921683,0.942208,0.991665,0.998864,0.998731,0.998488,0.999182,0.921683,6.451784,
00046,0.998246,0.978155,0.999711,0.883598,0.943705,0.997572,0.998600,0.998691,0.999766,0.999009,0.883598,6.185187,
00047,0.997252,0.945101,0.999024,0.891345,0.946785,0.996940,0.999129,0.998824,0.998651,0.997534,0.891345,6.239413,
00048,0.997912,0.931546,0.999504,0.904261,0.921275,0.995753,0.999517,0.998438,0.998517,0.998673,0.904261,6.329826,
00049,0.998193,0.958052,0.999404,0.880835,0.942208,0.998417,0.998472,0.998182,0.999314,0.998760,0.880835,6.165842,
00050,0.997965,0.935091,0.998834,0.903305,0.925490,0.997999,0.999147,0.998173,0.999379,0.998378,0.903305,6.323136,
00051,0.998278,0.937749,0.998579,0.868905,0.921275,0.998613,0.998658,0.999536,0.998804,0.997954,0.868905,6.082332,
00052,0.997728,0.943807,0.999312,0.902031,0.925490,0.981732,0.998441,0.998360,0.998221,0.998397,0.902031,6.314214,
00053,0.997699,0.950367,0.998806,0.899313,0.940739,0.995753,0.999122,0.998732,0.998271,0.997848,0.899313,6.295193,
00054,0.997957,0.927648,0.998570,0.890511,0.942208,0.993854,0.998359,0.999455,0.997779,0.998265,0.890511,6.233576,
00055,0.998554,1.000000,0.999832,0.893219,0.943705,0.963231,0.998511,0.997843,0.999188,0.998804,0.893219,6.252536,
00056,0.997992,0.959679,0.999600,0.900232,0.925490,0.986176,0.998106,0.997902,0.997932,0.998391,0.900232,6.301622,
00057,0.998438,0.924271,0.999079,0.893214,0.945230,0.979832,0.998374,0.999504,0.998367,0.998318,0.893214,6.252500,
00058,0.998432,0.941190,0.999238,0.912969,0.945230,0.998627,0.998678,0.999252,0.999315,0.999115,0.912969,6.390783,
00059,0.998059,0.954518,0.999251,0.919355,0.943705,0.983370,0.999462,0.999566,0.998563,0.999167,0.919355,6.435483,
00060,0.998248,0.943826,0.998748,0.885220,0.937879,0.996024,0.998444,0.998815,0.998263,0.997976,0.885220,6.196540,
00061,0.998513,0.941470,0.999527,1.000000,0.943705,0.998578,0.999138,0.998304,0.999434,0.998827,0.941470,6.590288,
00062,0.997525,0.931622,0.998529,0.903671,0.939296,0.993611,0.998437,0.997691,0.998361,0.998011,0.903671,6.325700,
00063,0.998424,0.937693,0.998843,0.914188,0.940739,0.993151,0.998458,0.998101,0.997978,0.998036,0.914188,6.399318,
00064,0.998360,0.958909,0.999401,0.940766,0.923353,0.973458,0.999609,0.999578,0.998627,0.998309,0.923353,6.463473,
00065,0.997895,0.936569,0.999369,0.890083,0.946785,0.985220,0.998729,0.997956,0.998534,0.998468,0.890083,6.230584,
00066,0.998585,0.952202,0.999636,0.876642,0.921275,0.997940,0.998588,0.998300,0.998094,0.999076,0.876642,6.136496,
00067,0.998270,0.940171,0.999632,0.914532,0.942208,0.997576,0.998876,0.997732,0.998708,0.999063,0.914532,6.401727,
00068,0.998571,0.958547,0.999292,0.899358,0.945230,0.992213,0.998567,0.999376,0.998868,0.998454,0.899358,6.295504,
