File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.998490,0.955586,0.999686,0.967198,0.929468,0.988027,0.997652,0.998196,0.997928,0.999366,0.929468,7.435741,
00002,0.998645,0.945943,0.999834,0.884469,0.927497,0.998684,0.997399,0.998356,0.998548,0.999408,0.884469,7.075750,
00003,0.998522,0.947285,0.999515,0.881296,0.933569,0.993220,0.997548,0.997853,0.999754,0.999048,0.881296,7.050366,
00004,0.997807,0.958466,0.999159,0.897032,0.933569,0.984156,0.998673,0.998045,0.998499,0.998327,0.897032,7.176257,
00005,0.998607,0.968516,0.999491,0.913305,0.929468,0.952275,0.999143,0.998658,0.984572,0.998938,0.913305,7.306441,
00006,0.998649,0.942852,0.999500,0.895021,0.925576,0.973446,0.998646,0.998697,0.998616,0.998241,0.895021,7.160168,
00007,0.998314,0.934082,0.999261,0.921380,0.931491,0.988027,0.998844,0.998956,0.999152,0.999377,0.921380,7.371041,
00008,0.998460,0.942266,0.999468,0.913734,0.929468,0.997807,0.999067,0.998618,0.998325,0.999582,0.913734,7.309870,
00009,0.997568,0.952764,0.999235,0.921198,0.933569,0.932005,0.999015,0.998648,0.998645,0.998200,0.921198,7.369587,
00010,0.998502,0.947896,0.999500,0.899415,0.929468,0.992940,0.999137,0.999233,0.999125,0.998457,0.899415,7.195321,
00011,0.998677,0.961613,0.999615,1.000000,0.935706,0.954540,0.998497,0.999092,0.998996,0.998910,0.935706,7.485651,
00012,0.998623,0.928048,0.998296,0.893432,0.935706,0.998669,0.997917,0.998326,0.997651,0.997292,0.893432,7.147459,
00013,0.998443,0.943510,0.999634,0.914610,0.933569,0.997566,0.998685,0.998300,0.999817,0.998923,0.914610,7.316883,
00014,0.998033,0.956669,0.999419,0.922999,0.923703,0.995506,0.998228,0.997720,0.999239,0.999052,0.922999,7.383995,
00015,0.998640,0.949385,0.999771,0.907852,0.933569,0.973446,0.998574,0.999178,0.998798,0.999693,0.907852,7.262814,
00016,0.998554,0.962436,0.999434,0.882521,0.933569,0.995431,0.998835,0.998741,0.998854,0.998640,0.882521,7.060165,
00017,0.997913,0.958881,0.999523,0.920456,0.933569,0.998650,0.999073,0.998779,0.998997,0.998752,0.920456,7.363651,
00018,0.998602,0.935432,0.999706,0.924029,0.935706,0.984502,0.998820,0.998508,0.999267,0.998897,0.924029,7.392233,
00019,0.998516,0.974439,0.998875,0.904539,0.925576,0.990036,0.999929,0.997885,0.998127,0.997969,0.904539,7.236309,
00020,0.998438,0.932030,0.999088,0.903289,0.933569,0.972872,0.998792,0.998756,0.999177,0.999149,0.903289,7.226309,
00021,0.998522,0.930307,0.998959,0.896501,0.931491,0.995431,0.998318,0.999124,0.998162,0.997924,0.896501,7.172010,
00022,0.998212,0.956149,0.999040,0.901703,0.931491,0.954540,0.999188,0.998837,0.999043,0.998198,0.901703,7.213624,
00023,0.998166,0.944541,0.998817,0.883809,0.933569,0.998697,0.998898,0.998148,0.998434,0.998839,0.883809,7.070469,
00024,0.998343,0.956972,0.999235,0.902363,0.933569,0.981516,0.998731,0.998333,0.998204,0.998177,0.902363,7.218900,
00025,0.997911,0.937233,0.999338,0.892049,0.935706,0.973446,0.998984,0.998734,0.998650,0.998075,0.892049,7.136390,
00026,0.998411,0.934916,0.999531,0.884479,0.929468,0.951244,0.999116,0.998253,0.998391,0.999449,0.884479,7.075833,
00027,0.997785,0.942879,0.998653,0.884599,0.931491,0.900405,0.997215,0.998813,0.984572,0.998252,0.884599,7.076793,
00028,0.998483,0.978603,0.999356,0.906102,0.933569,0.997140,0.998944,0.997887,0.997887,0.998626,0.906102,7.248813,
00029,0.998322,0.930207,0.998651,0.901935,0.933569,0.996810,0.999114,0.998661,0.998156,0.997964,0.901935,7.215477,
